timestep,state,action,next_state,reward,done,number_of_pods,cpu_util,latency_violation,latency,hpa_threshold,info
76,24,0,3,100,False,1,13.97774618127453,0,0.15545838342529042,20,
77,3,1,3,100,False,1,13.42246459413041,0,0.16407972404118096,20,
78,3,1,24,79.54518205209386,False,7,19.03909184869735,0,0.18351945688337298,20,
79,24,0,24,79.42535683609387,False,7,19.040503343741573,0,0.18146729356112662,20,
80,24,2,38,100,False,1,14.243219610827962,0,0.1687247958312562,40,
81,38,1,38,100,False,1,14.349225927884458,0,0.17009085684670497,40,
82,38,0,24,79.65502218879288,False,7,18.873681627603602,0,0.1856524706853179,20,
83,24,0,24,79.79028165884324,False,7,19.190252407964216,0,0.1888187783477788,20,
84,24,0,3,100,False,1,13.909889616440969,0,0.17371764523824806,20,
85,3,1,3,100,False,1,14.310935052901776,0,0.18182719660559835,20,
86,3,0,24,79.42381498847102,False,7,19.01635215158026,0,0.1814423444059985,20,
87,24,1,24,79.52370849831883,False,7,19.081747744620348,0,0.1831335908560973,20,
88,24,1,3,100,False,1,14.423285833045734,0,0.15976353243898847,20,
89,3,2,38,100,False,1,13.435500286317904,0,0.16362837262013757,40,
90,38,0,24,79.65258038065987,False,7,18.793576268767804,0,0.18560165708341955,20,
91,24,1,24,79.51465752814153,False,7,19.046234445061636,0,0.18297353526940177,20,
92,24,1,3,100,False,1,13.792028950803715,0,0.173601589701213,20,
93,3,2,38,100,False,1,13.993488534690684,0,0.16140563193689203,40,
94,38,0,24,79.27674109059333,False,7,18.972941316153545,0,0.17919733732286203,20,
95,24,1,24,79.58144818792769,False,7,18.835837189669977,0,0.18419222334904242,20,
96,24,1,3,100,False,1,14.001531242849996,0,0.15247752794808617,20,
97,3,0,3,100,False,1,14.080828870738749,0,0.17701454647275336,20,
98,3,1,24,79.72277229913894,False,7,18.695037506758073,0,0.18714137957542587,20,
99,24,2,228,43.09704563084175,False,4,34.84333535838428,0,0.23722886191299702,40,
100,228,1,38,100,False,1,14.082703350497454,0,0.17765539575436093,40,
101,38,1,38,100,False,1,13.580444687938002,0,0.16794139580076234,40,
102,38,1,228,53.12807790527185,False,4,34.037167018396374,0,0.23058010064086967,40,
103,228,0,24,79.43502964196612,False,7,18.987130882093634,0,0.1816245725721646,20,
104,24,2,38,100,False,1,13.95060955387754,0,0.16349748747990206,40,
105,38,1,38,100,False,1,13.985991702979597,0,0.17338389039313395,40,
106,38,0,24,79.30881094997892,False,7,19.048871642717685,0,0.17966611838166854,20,
107,24,2,227,88.61922317153575,False,4,33.297954453595196,0,0.17118845326036652,40,
108,227,0,3,100,False,1,14.400738881110685,0,0.16090028023532882,20,
109,3,1,3,100,False,1,14.367868267517604,0,0.16500309209869726,20,
110,3,0,24,79.53359794570369,False,7,18.56641019786009,0,0.18331020445126633,20,
111,24,2,228,30.36991266880183,False,4,33.27233721651059,0,0.24885676311124738,40,
112,228,2,73,100,False,1,14.829685275951183,0,0.17833445130954967,60,
113,73,2,108,100,False,1,14.429835200967947,0,0.16351554427265017,80,
114,108,2,846,0,False,1,87.55606469932113,1,2.333198718624943,100,
115,846,0,643,0,False,2,65.8113088107947,1,0.3794076332617968,80,
116,643,1,108,100,False,1,14.11680500908203,0,0.17210480475395296,80,
117,108,1,108,100,False,1,14.744288590496529,0,0.16949103244405705,80,
118,108,0,431,93.12419661341195,False,3,44.87047014922955,0,0.20193395301623582,60,
119,431,0,228,83.12611588599373,False,4,33.5473360796894,0,0.21136665502732652,40,
120,228,1,38,100,False,1,14.238944031252984,0,0.16939421978826108,40,
121,38,1,38,100,False,1,14.630880784854595,0,0.18088942473655456,40,
122,38,1,229,0,False,4,32.86696414529393,1,0.2827953275887231,40,
123,229,2,430,92.30067164997664,False,3,44.39094017811522,0,0.1751150922151563,60,
124,430,0,38,100,False,1,14.375954639817692,0,0.15261784864035027,40,
125,38,0,3,100,False,1,14.010379995501808,0,0.17602944190618017,20,
